Rank,Station ID,Station,Price per Liter (PHP),Brand Color
116,21,Caltex Katipunan Linear Bldg,121.0,#E31937
117,22,Caltex Visayas Ave Culiat,121.0,#E31937
118,23,Caltex Kamuning / Judge Jimenez,121.0,#E31937
119,496,Caltex Dahlia Ave Fairview,121.0,#E31937
120,497,Caltex Landers Fairview,121.0,#E31937
121,509,Caltex E. Rodriguez Ave,121.0,#E31937
122,541,Caltex Commonwealth Ave Fairview,121.0,#E31937
123,542,Caltex Tandang Sora Ave,121.0,#E31937
124,588,Caltex Congressional Ave,121.0,#E31937
125,608,Caltex Mindanao Ave,121.0,#E31937
126,665,Caltex Visayas Ave,121.0,#E31937
127,745,Caltex Aurora Blvd,121.0,#E31937
128,751,Caltex Heroes Hill Quezon Ave,121.0,#E31937
129,789,Caltex Roosevelt Ave,121.0,#E31937
130,832,Caltex E. Rodriguez Ave,121.0,#E31937
131,891,Caltex Aurora Blvd,121.0,#E31937
132,927,Caltex Commonwealth Ave,121.0,#E31937
133,929,Caltex Roosevelt Ave,121.0,#E31937
134,617,Caltex Regalado Ave,122.85,#E31937
135,1056,Shell Katipunan Ave,123.3,#FFD500
136,26,Seaoil A. Bonifacio / Sct Alcaraz,123.6,#00A651
137,131,Seaoil EDSA P. Tuazon Cubao,123.6,#00A651
138,132,Seaoil E. Rodriguez Sr. Ave Doña Josefa,123.6,#00A651
139,133,Seaoil Commonwealth Ave Novaliches,123.6,#00A651
140,575,Seaoil Quirino Hwy,123.6,#00A651
141,581,Seaoil EDSA Balintawak,123.6,#00A651
142,596,Seaoil EDSA,123.6,#00A651
143,649,Seaoil EDSA Balara,123.6,#00A651
144,655,Seaoil Regalado Ave,123.6,#00A651
145,716,Seaoil Gen. Luis St,123.6,#00A651
146,743,Seaoil Regalado Ave,123.6,#00A651
147,756,Seaoil Commonwealth Ave Fairview,123.6,#00A651
148,838,Seaoil E. Rodriguez Ave,123.6,#00A651
149,660,Petron Gen. Luis St,123.8,#004B93
150,510,Caltex Commonwealth Ave Fairview,124.0,#E31937
151,631,Shell Quezon Ave,124.2,#FFD500
152,675,Shell Mindanao Ave,124.6,#FFD500
153,570,Phoenix Congressional Ave,124.8,#FF6600
154,771,Caltex E. Rodriguez Ave,125.05,#E31937
155,653,Shell Regalado Ave,125.2,#FFD500
156,13,Shell EDSA-Main Cubao,125.45,#FFD500
157,504,Shell Quezon Ave,125.45,#FFD500
158,505,Shell EDSA Cubao,125.45,#FFD500
159,506,Shell Quezon Ave,125.45,#FFD500
160,507,Shell Mindanao Ave,125.45,#FFD500
161,516,Shell Kalayaan Avenue,125.45,#FFD500
162,517,Shell Quirino Hwy,125.45,#FFD500
163,535,Shell EDSA Kamuning,125.45,#FFD500
164,565,Shell Gen. Luis St,125.45,#FFD500
165,574,Shell Quirino Hwy,125.45,#FFD500
166,577,Shell Congressional Ave,125.45,#FFD500
167,579,Shell EDSA Balintawak,125.45,#FFD500
168,580,Shell Quezon Ave,125.45,#FFD500
169,584,Shell EDSA,125.45,#FFD500
170,585,Shell EDSA Balintawak,125.45,#FFD500
171,589,Shell Congressional Ave,125.45,#FFD500
172,594,Shell Aurora Blvd Cubao,125.45,#FFD500
173,598,Shell Katipunan Ave,125.45,#FFD500
174,604,Shell Congressional Ave,125.45,#FFD500
175,613,Shell Regalado Ave,125.45,#FFD500
176,616,Shell Regalado Ave,125.45,#FFD500
177,624,Shell Dahlia Ave Fairview,125.45,#FFD500
178,648,Shell EDSA Balara,125.45,#FFD500
179,678,Shell Visayas Ave,125.45,#FFD500
180,682,Shell Aurora Blvd,125.45,#FFD500
181,686,Shell Aurora Blvd,125.45,#FFD500
182,750,Shell Aurora Blvd,125.45,#FFD500
183,770,Shell Aurora Blvd,125.45,#FFD500
184,773,Shell Roosevelt Ave,125.45,#FFD500
185,784,Shell E. Rodriguez Ave,125.45,#FFD500
186,792,Shell Roosevelt Ave,125.45,#FFD500
187,808,Shell Aurora Blvd,125.45,#FFD500
188,813,Shell Katipunan Ave,125.45,#FFD500
189,831,Shell E. Rodriguez Ave,125.45,#FFD500
190,843,Shell E. Rodriguez Ave,125.45,#FFD500
191,844,Shell E. Rodriguez Ave,125.45,#FFD500
192,863,Shell Roosevelt Ave,125.45,#FFD500
193,981,Shell Commonwealth Ave,125.45,#FFD500
194,1021,Shell Katipunan Ave,125.45,#FFD500
195,1045,Shell Commonwealth Ave,125.45,#FFD500
196,1050,Shell Katipunan Ave,125.45,#FFD500
197,1062,Shell Katipunan Ave,125.45,#FFD500
198,1091,Shell EDSA,125.45,#FFD500
199,1159,Shell E. Rodriguez Ave,125.45,#FFD500
200,78,Flying V Araneta Ave,127.9,#8B0000
201,79,Flying V Bagumbong Rd,127.9,#8B0000
202,91,Flying V P. Tuazon Cubao,127.9,#8B0000
203,491,Flying V Commonwealth Ave,127.9,#8B0000
204,499,Flying V EDSA Cubao,127.9,#8B0000
205,523,Flying V Mindanao Ave,127.9,#8B0000
206,622,Flying V Quirino Hwy,127.9,#8B0000
207,659,Flying V Quirino Hwy,127.9,#8B0000
208,672,Flying V Quirino Hwy,127.9,#8B0000
209,741,Flying V Gen. Luis St,127.9,#8B0000
210,794,Flying V Commonwealth Ave,127.9,#8B0000
211,815,Flying V E. Rodriguez Ave,127.9,#8B0000
212,829,Flying V E. Rodriguez Ave,127.9,#8B0000
213,99,PTT Belfast Fairview,131.15,#5B2C6F
214,576,PTT EDSA Kamuning,131.15,#5B2C6F
215,583,PTT Congressional Ave,131.15,#5B2C6F
216,620,PTT Quirino Hwy,131.15,#5B2C6F
217,652,PTT Regalado Ave,131.15,#5B2C6F
218,861,PTT Roosevelt Ave,131.15,#5B2C6F
219,910,PTT Roosevelt Ave,131.15,#5B2C6F
220,150,Jetti Mindanao Ave Bagong Pag-asa,138.2,#C8102E
221,151,Jetti Dahlia Ave / Chestnut North Fairview,138.2,#C8102E
222,152,Jetti Tandang Sora Ave,138.2,#C8102E
223,83,Cleanfuel Commonwealth Ave Balara,138.55,#00B4D8
224,84,Cleanfuel Fairview Regalado Ave,138.55,#00B4D8
225,85,Cleanfuel EDSA Cubao,138.55,#00B4D8
226,93,Cleanfuel Bonny Serrano Cubao,138.55,#00B4D8
227,493,Cleanfuel Tomas Morato Ave,138.55,#00B4D8
228,571,Cleanfuel Congressional Ave,138.55,#00B4D8
229,634,Cleanfuel Aurora Blvd,138.55,#00B4D8
230,647,Cleanfuel Katipunan Ave,138.55,#00B4D8
231,650,Cleanfuel Commonwealth Ave,138.55,#00B4D8
232,658,Cleanfuel Congressional Ave,138.55,#00B4D8
233,707,Cleanfuel Mindanao Ave,138.55,#00B4D8
234,709,Cleanfuel Aurora Blvd,138.55,#00B4D8
235,710,Cleanfuel Regalado Ave,138.55,#00B4D8
236,726,Cleanfuel Commonwealth Ave Fairview,138.55,#00B4D8
237,737,Cleanfuel Quezon Ave,138.55,#00B4D8
238,842,Cleanfuel E. Rodriguez Ave,138.55,#00B4D8
239,926,Cleanfuel Commonwealth Ave,138.55,#00B4D8
