City,Rank,Station ID,Station,Price per Liter (PHP),Brand Color
Quezon City,91,515,Unioil Mindanao Ave,119.6,#1B3C73
Quezon City,92,587,Unioil Congressional Ave,119.6,#1B3C73
Quezon City,93,595,Unioil EDSA,119.6,#1B3C73
Quezon City,94,615,Unioil Regalado Ave,119.6,#1B3C73
Quezon City,95,636,Unioil Aurora Blvd,119.6,#1B3C73
Quezon City,97,668,Unioil Katipunan Ave,119.6,#1B3C73
Quezon City,98,669,Unioil Quirino Hwy,119.6,#1B3C73
Quezon City,103,755,Unioil Quirino Hwy Bagbag,119.6,#1B3C73
Quezon City,104,785,Cleanfuel E. Rodriguez Ave,119.6,#00B4D8
Quezon City,105,828,Unioil E. Rodriguez Ave,119.6,#1B3C73
Quezon City,106,939,Unioil Roosevelt Ave,119.6,#1B3C73
Quezon City,107,989,Unioil Commonwealth Ave,119.6,#1B3C73
Quezon City,110,1185,Unioil Commonwealth Ave Holy Spirit,119.6,#1B3C73
Manila,48,34,Unioil Quirino Ave Pandacan,119.7,#1B3C73
Quezon City,111,27,Unioil Congressional Ave Ext Culiat,119.7,#1B3C73
Quezon City,112,28,Unioil Kalayaan Teachers Village,119.7,#1B3C73
Manila,49,468,Petron Osmeña Hwy San Andres Manila,119.9,#004B93
Quezon City,113,742,Petron Aurora Blvd,120.0,#004B93
Manila,50,704,Petron Moriones Tondo Manila,120.1,#004B93
Manila,52,31,Caltex Quirino / Mabini Malate,121.0,#E31937
Manila,53,32,Caltex Jose Abad Santos Tondo,121.0,#E31937
Manila,54,467,Caltex Pandacan Manila,121.0,#E31937
Manila,55,483,Caltex Tejeron San Andres Manila,121.0,#E31937
Manila,56,928,Caltex Pedro Gil Paco Manila,121.0,#E31937
Manila,59,1213,Caltex MetroOil,121.0,#E31937
Quezon City,114,19,Caltex EDSA Balintawak,121.0,#E31937
Quezon City,115,20,Caltex Congressional / Cagayan,121.0,#E31937
Quezon City,116,21,Caltex Katipunan Linear Bldg,121.0,#E31937
Quezon City,117,22,Caltex Visayas Ave Culiat,121.0,#E31937
Quezon City,118,23,Caltex Kamuning / Judge Jimenez,121.0,#E31937
Quezon City,119,496,Caltex Dahlia Ave Fairview,121.0,#E31937
Quezon City,120,497,Caltex Landers Fairview,121.0,#E31937
Quezon City,121,509,Caltex E. Rodriguez Ave,121.0,#E31937
Quezon City,122,541,Caltex Commonwealth Ave Fairview,121.0,#E31937
Quezon City,123,542,Caltex Tandang Sora Ave,121.0,#E31937
Quezon City,124,588,Caltex Congressional Ave,121.0,#E31937
Quezon City,125,608,Caltex Mindanao Ave,121.0,#E31937
Quezon City,126,665,Caltex Visayas Ave,121.0,#E31937
Quezon City,127,745,Caltex Aurora Blvd,121.0,#E31937
Quezon City,128,751,Caltex Heroes Hill Quezon Ave,121.0,#E31937
Quezon City,129,789,Caltex Roosevelt Ave,121.0,#E31937
Quezon City,132,927,Caltex Commonwealth Ave,121.0,#E31937
Quezon City,134,617,Caltex Regalado Ave,122.85,#E31937
Quezon City,135,1056,Shell Katipunan Ave,123.3,#FFD500
Manila,62,142,Seaoil Pritil Juan Luna Tondo,123.6,#00A651
Manila,63,143,Seaoil Paco Peñafrancia Manila,123.6,#00A651
Manila,64,144,Seaoil Legarda Sampaloc Manila,123.6,#00A651
Manila,65,463,Seaoil Tejeron Sta. Ana Manila,123.6,#00A651
Manila,66,465,Seaoil Quirino Ave Paco Manila,123.6,#00A651
Manila,67,477,Seaoil Osmeña Hwy San Andres Manila,123.6,#00A651
Manila,68,487,Seaoil SEAOIL - Pedro Gil,123.6,#00A651
Manila,69,558,Seaoil Juan Luna Tondo Manila,123.6,#00A651
Manila,71,1098,Seaoil Lacson Ave Sampaloc Manila,123.6,#00A651
Manila,73,1188,Seaoil E. Rodriguez Ave,123.6,#00A651
Quezon City,136,26,Seaoil A. Bonifacio / Sct Alcaraz,123.6,#00A651
Quezon City,137,131,Seaoil EDSA P. Tuazon Cubao,123.6,#00A651
Quezon City,138,132,Seaoil E. Rodriguez Sr. Ave Doña Josefa,123.6,#00A651
Quezon City,139,133,Seaoil Commonwealth Ave Novaliches,123.6,#00A651
Quezon City,140,575,Seaoil Quirino Hwy,123.6,#00A651
Quezon City,141,581,Seaoil EDSA Balintawak,123.6,#00A651
Quezon City,142,596,Seaoil EDSA,123.6,#00A651
Quezon City,143,649,Seaoil EDSA Balara,123.6,#00A651
Quezon City,144,655,Seaoil Regalado Ave,123.6,#00A651
Quezon City,145,716,Seaoil Gen. Luis St,123.6,#00A651
Quezon City,147,756,Seaoil Commonwealth Ave Fairview,123.6,#00A651
Quezon City,148,838,Seaoil E. Rodriguez Ave,123.6,#00A651
Quezon City,149,660,Petron Gen. Luis St,123.8,#004B93
Quezon City,150,510,Caltex Commonwealth Ave Fairview,124.0,#E31937
Quezon City,151,631,Shell Quezon Ave,124.2,#FFD500
Quezon City,152,675,Shell Mindanao Ave,124.6,#FFD500
Quezon City,153,570,Phoenix Congressional Ave,124.8,#FF6600
Manila,78,1083,Shell Magsaysay Blvd Sta. Mesa Manila,124.9,#FFD500
Quezon City,154,771,Caltex E. Rodriguez Ave,125.05,#E31937
Quezon City,155,653,Shell Regalado Ave,125.2,#FFD500
Manila,79,474,Shell Quirino Ave Paco Manila,125.45,#FFD500
Manila,80,478,Shell Quirino Ave San Andres Manila,125.45,#FFD500
Manila,81,557,Shell Moriones Tondo Manila,125.45,#FFD500
Manila,82,876,Shell Pedro Gil Paco Manila,125.45,#FFD500
Manila,83,1101,Shell Blumentritt Rd Tondo Manila,125.45,#FFD500
Manila,94,1293,Shell Tayuman Sta. Cruz Manila,125.45,#FFD500
Quezon City,156,13,Shell EDSA-Main Cubao,125.45,#FFD500
Quezon City,157,504,Shell Quezon Ave,125.45,#FFD500
Quezon City,158,505,Shell EDSA Cubao,125.45,#FFD500
Quezon City,160,507,Shell Mindanao Ave,125.45,#FFD500
Quezon City,161,516,Shell Kalayaan Avenue,125.45,#FFD500
Quezon City,162,517,Shell Quirino Hwy,125.45,#FFD500
Quezon City,163,535,Shell EDSA Kamuning,125.45,#FFD500
Quezon City,164,565,Shell Gen. Luis St,125.45,#FFD500
Quezon City,166,577,Shell Congressional Ave,125.45,#FFD500
Quezon City,167,579,Shell EDSA Balintawak,125.45,#FFD500
Quezon City,169,584,Shell EDSA,125.45,#FFD500
Quezon City,172,594,Shell Aurora Blvd Cubao,125.45,#FFD500
Quezon City,173,598,Shell Katipunan Ave,125.45,#FFD500
Quezon City,175,613,Shell Regalado Ave,125.45,#FFD500
Quezon City,177,624,Shell Dahlia Ave Fairview,125.45,#FFD500
Quezon City,178,648,Shell EDSA Balara,125.45,#FFD500
Quezon City,179,678,Shell Visayas Ave,125.45,#FFD500
Quezon City,180,682,Shell Aurora Blvd,125.45,#FFD500
Quezon City,184,773,Shell Roosevelt Ave,125.45,#FFD500
Quezon City,185,784,Shell E. Rodriguez Ave,125.45,#FFD500
Quezon City,193,981,Shell Commonwealth Ave,125.45,#FFD500
Manila,95,90,Flying V F. Huertas Sta. Cruz,127.9,#8B0000
Manila,96,924,Flying V Magsaysay Blvd Sta. Mesa Manila,127.9,#8B0000
Quezon City,200,78,Flying V Araneta Ave,127.9,#8B0000
Quezon City,201,79,Flying V Bagumbong Rd,127.9,#8B0000
Quezon City,202,91,Flying V P. Tuazon Cubao,127.9,#8B0000
Quezon City,203,491,Flying V Commonwealth Ave,127.9,#8B0000
Quezon City,204,499,Flying V EDSA Cubao,127.9,#8B0000
Quezon City,205,523,Flying V Mindanao Ave,127.9,#8B0000
Quezon City,206,622,Flying V Quirino Hwy,127.9,#8B0000
Quezon City,209,741,Flying V Gen. Luis St,127.9,#8B0000
Quezon City,211,815,Flying V E. Rodriguez Ave,127.9,#8B0000
Manila,100,475,Caltex Osmeña Hwy Sta. Ana Manila,128.0,#E31937
Quezon City,213,99,PTT Belfast Fairview,131.15,#5B2C6F
Quezon City,214,576,PTT EDSA Kamuning,131.15,#5B2C6F
Quezon City,215,583,PTT Congressional Ave,131.15,#5B2C6F
Quezon City,216,620,PTT Quirino Hwy,131.15,#5B2C6F
Quezon City,217,652,PTT Regalado Ave,131.15,#5B2C6F
Quezon City,218,861,PTT Roosevelt Ave,131.15,#5B2C6F
Quezon City,220,150,Jetti Mindanao Ave Bagong Pag-asa,138.2,#C8102E
Quezon City,221,151,Jetti Dahlia Ave / Chestnut North Fairview,138.2,#C8102E
Quezon City,222,152,Jetti Tandang Sora Ave,138.2,#C8102E
Manila,102,82,Cleanfuel P. Gil Sta. Ana,138.55,#00B4D8
Manila,103,454,CleanFuel Quirino Ave San Andres Manila,138.55,#00B4D8
Manila,104,472,CleanFuel San Andres Manila,138.55,#00B4D8
Manila,105,919,CleanFuel Lacson Ave Tondo Manila,138.55,#00B4D8
Quezon City,223,83,Cleanfuel Commonwealth Ave Balara,138.55,#00B4D8
Quezon City,224,84,Cleanfuel Fairview Regalado Ave,138.55,#00B4D8
Quezon City,225,85,Cleanfuel EDSA Cubao,138.55,#00B4D8
Quezon City,226,93,Cleanfuel Bonny Serrano Cubao,138.55,#00B4D8
Quezon City,227,493,Cleanfuel Tomas Morato Ave,138.55,#00B4D8
Quezon City,228,571,Cleanfuel Congressional Ave,138.55,#00B4D8
Quezon City,229,634,Cleanfuel Aurora Blvd,138.55,#00B4D8
Quezon City,230,647,Cleanfuel Katipunan Ave,138.55,#00B4D8
Quezon City,231,650,Cleanfuel Commonwealth Ave,138.55,#00B4D8
Quezon City,233,707,Cleanfuel Mindanao Ave,138.55,#00B4D8
Quezon City,235,710,Cleanfuel Regalado Ave,138.55,#00B4D8
Quezon City,236,726,Cleanfuel Commonwealth Ave Fairview,138.55,#00B4D8
Quezon City,237,737,Cleanfuel Quezon Ave,138.55,#00B4D8
Quezon City,238,842,Cleanfuel E. Rodriguez Ave,138.55,#00B4D8
