Fuel Type,Price (PHP),Brand
Cheapest Diesel,116.5,Phoenix
Cheapest Prem. Diesel,120.29,Petron
Cheapest Unleaded 91,83.1,Phoenix
Cheapest Premium 95,87.4,Seaoil
